材质,通道,图像,尺寸,已打包
CabinV2_Trim_INT_2.001,Normal,INT_normal2.jpg.001,1024 × 1024,True
CabinV2_Trim_INT_2.001,Roughness,V5_Roughness_453bc4e4fcc5,2048 × 2048,True
TX_057_CabinV2_Door_INT_2.001,Base Color,9X_lanbai_INT_2.jpg.001,1024 × 1024,True
TX_057_CabinV2_Door_INT_2.001,Normal,INT_normal2.jpg.001,1024 × 1024,True
TX_057_CabinV2_Door_INT_2.001,Roughness,roughness.jpg,2048 × 2048,True
TX_058_CabinV2_Door_INT_2.001,Base Color,9X_lanbai_INT_2.jpg.001,1024 × 1024,True
TX_058_CabinV2_Door_INT_2.001,Normal,INT_normal2.jpg.001,1024 × 1024,True
TX_058_CabinV2_Door_INT_2.001,Roughness,roughness.jpg,2048 × 2048,True
V4_fabric_Door_LB_INT_NO_sunshade,Base Color,03_alcantara_headliner_BaseColor.png,2048 × 2048,True
V4_fabric_Door_LB_INT_NO_sunshade,Normal,03_alcantara_headliner_Normal.png,2048 × 2048,True
V4_fabric_Door_LB_INT_NO_sunshade,Roughness,03_alcantara_headliner_Roughness.png,2048 × 2048,True
Glass_Black,Base Color,V5_Base Color_be69870c52c0,2048 × 2048,True
Glass_Black,Normal,V5_flat_normal,2048 × 2048,True
Glass_Black,Roughness,V5_Roughness_00713061787d,2048 × 2048,True
Glass_Black_B,Base Color,V5_Base Color_be69870c52c0,2048 × 2048,True
Glass_Black_B,Normal,V5_flat_normal,2048 × 2048,True
Glass_Black_B,Roughness,V5_Roughness_00713061787d,2048 × 2048,True
TX_059_CabinV2_Door_INT_2.001,Base Color,9X_lanbai_INT_2.jpg.001,1024 × 1024,True
TX_059_CabinV2_Door_INT_2.001,Normal,INT_normal2.jpg.001,1024 × 1024,True
TX_059_CabinV2_Door_INT_2.001,Roughness,roughness.jpg,2048 × 2048,True
TX_060_CabinV2_Door_INT_2.001,Base Color,9X_lanbai_INT_2.jpg.001,1024 × 1024,True
TX_060_CabinV2_Door_INT_2.001,Normal,INT_normal2.jpg.001,1024 × 1024,True
TX_060_CabinV2_Door_INT_2.001,Roughness,roughness.jpg,2048 × 2048,True
V4_leather_Door_LF_WG,Base Color,02_nappa_seat_BaseColor.png,2048 × 2048,True
V4_leather_Door_LF_WG,Normal,02_nappa_seat_Normal.png,2048 × 2048,True
V4_leather_Door_LF_WG,Roughness,02_nappa_seat_Roughness.png,2048 × 2048,True
V4_fabric_Door_LF_WG,Base Color,03_alcantara_headliner_BaseColor.png,2048 × 2048,True
V4_fabric_Door_LF_WG,Normal,03_alcantara_headliner_Normal.png,2048 × 2048,True
V4_fabric_Door_LF_WG,Roughness,03_alcantara_headliner_Roughness.png,2048 × 2048,True
